,Sentence,Sentiment,target,cleaned_text
2305,CompaniesLSE adds ex-SEC head Schapiro to board,neutral,0,companieslse add ex SEC head Schapiro board
2306,Panostaja did not disclose the purchase price .,neutral,0,Panostaja not disclose purchase price
2307,"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",neutral,0,Group net sale EUR 235 million 2009 employ 2 000 people 33 country
2308,The first stage of the contract covers 133 stores and 600 cash registers .,neutral,0,stage contract cover 133 store 600 cash register
2309,4 beaten-down Internet companies that may be ripe for a #takeover target: #Twitter $TWTR - #LinkedIn $LNKD - #Yahoo! $YHOO - #Groupon $GRPN,positive,1,4 beat down internet company ripe takeover target twitter $ TWTR LinkedIn $ LNKD Yahoo $ YHOO Groupon $ GRPN
2310,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,positive,1,share Nokia Corp. rise Thursday cell phone maker say quarter earning double share global handset market increase
2311,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",negative,-1,"know seat sit $ tsla > Tesla recall 2,700 Model X car https://t.co/7j0gwz89zc"
2312,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,negative,-1,$ ATHN like good short setup stop 50 day position
2313,"In Russia , Raisio 's Food Division 's home market stretches all the way to Vladivostok .",neutral,0,Russia Raisio Food Division home market stretch way Vladivostok
2314,The financial details of the acquisition were not disclosed .,neutral,0,financial detail acquisition not disclose
2315,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive,1,ADP News Feb 12 2009 finnish solution provider Affecto Oyj HEL afe1v say today net profit rise EUR 8.5 million usd 11 m 2008 EUR 7 million 2007
2316,"Aviva, M&G suspend property funds as investors panic",negative,-1,Aviva M&G suspend property fund investor panic
2317,"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added .",neutral,0,airline target travel agent tour operator travel management company raise awareness target consumer add
2318,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .,neutral,0,finnish automation solution developer Cencorp Corporation omx Helsinki CNC1V report Thursday 6 November operating loss EUR1 .3 m net sale EUR11 .9 m period January September 2008
2319,Both the net sales and operating profit were record high in the company 's history .,positive,1,net sale operating profit record high company history
2320,"This one was at one time targeted for June 5 , but if we had to guess , it 's been pushed back -- maybe we 're crazy , but we feel like it has n't leaked enough to meet that date at this point .",neutral,0,time target June 5 guess push maybe crazy feel like leak meet date point
2321,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",neutral,0,operate profit non recur item EUR 8.3 mn month 2008 compare EUR 8.4 corresponding period 2007
2322,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",positive,1,operating profit net sale month period increase respectively EUR0 .4 m EUR3 .2 m compare corresponding period 2005
2323,"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added .",neutral,0,` ` small firm suffer moment likely money trouble add
2324,"The competition was received with great enthusiasm by the employees , he goes on .",positive,1,competition receive great enthusiasm employee go
2325,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",negative,-1,paper company negative territory Stora Enso R shed 1.62 pct 12.73 eur UPM Kymmene down 0.80 pct 18.64 eur M real b 0.18 pct low 5.57 eur
2326,"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over .",neutral,0,Maggie Ramsey wait thousand Oregon Washington guide angler flock frequent seminar nearly
2327,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",negative,-1,"OMX Helsinki index down 0.34 pct 8,256.02 turnover 813.191 mln eur"
2328,"Kiosk and cinema operations have suffered , in particular .",neutral,0,Kiosk cinema operation suffer particular
2329,"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",neutral,0,Nokia say expect sell 150 million symbian device year come give indication expect Phone 7 handoff work
2330,Subscription sales decreased slightly .,negative,-1,subscription sale decrease slightly
2331,"The Group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons .",neutral,0,"Group consolidated net sale 2009 total 1.5 billion euro employ approximately 10,000 person"
2332,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,1,TELECOMWORLDWIRE-7 April 2006 TJ Group Plc sell stake Morning Digital Design Oy finnish company TJ Group Plc say Friday 7 April sign agreement sell share Morning Digital Design Oy Edita Oyj
2333,$RNN staying above the open a very good sign!!!,positive,1,$ RNN staying open good sign
2334,A comprehensive range of cut-to-length and slitting services will allow Ruukki in particular to serve light engineering customers who relocate their production to the St. Petersburg area .,neutral,0,comprehensive range cut length slit service allow Ruukki particular serve light engineering customer relocate production St. Petersburg area
2335,The new policy was also aimed at making the companies more profitable and competitive .,positive,1,new policy aim make company profitable competitive
2336,"Centrica extends gas deals with Gazprom, Statoil",positive,1,Centrica extend gas deal Gazprom Statoil
2337,"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",negative,-1,finnish Food Workers Union SEL plan hasten collective bargaining day strike begin 7 April 2010 Finland
2338,"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",neutral,0,building house example Respecta Oy Jyvaskyla premise company announce later say Samuel Koivisto Director Technopolis operation Jyvaskyla
2339,"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",neutral,0,Compagnie de Financement Foncier issue benchmark 10 year cover deal Euros
2340,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,positive,1,$ etn upgrade today MS overweight excellent company leadership
2341,The appointments will be in force until the new CEO has been appointed .,neutral,0,appointment force new CEO appoint
2342,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",neutral,0,"OMX Helsinki index down 0.34 pct 8,256.02 turnover 813.191 mln eur"
2343,"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",positive,1,HK Ruokatalo account 50 poultry sale Finland profitability good level
2344,"Tikkurila has an interesting growth strategy , which we support .",neutral,0,Tikkurila interesting growth strategy support
2345,"The total headcount reduction will be 50 persons , the company said .",neutral,0,total headcount reduction 50 person company say
2346,$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,positive,1,$ tsla announce recall stock sell stock teflon will forever
2347,"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral,0,estimate value contract EUR12 .4 m. Vaisala headquarter Helsinki Finland develop manufacture electronic measurement system meteorology environmental science traffic industry
2348,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,positive,1,2 turnaround buy 2016 BHP Billiton plc Home Retail Group Plc
2349,Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive,1,Pivotal Research upgrading $ googl buy https://t.co/lsahepdqhd stocktrade
2350,The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,neutral,0,sale Tiimari segment fall 4.0 year year EUR3 .3 m June 2010
2351,"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",positive,1,choose efficient good overall value option customer bidding stage
2352,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,positive,1,new recommendation Carl Kirst BMO Capital Markets $ WMB BUY.Price target $ 62 http://stks.co t0s0r
2353,"The maximum obligated total trades per day is ISK 400,000,000 market value .",neutral,0,"maximum obligate total trade day ISK 400,000,000 market value"
2354,Each share is entitled to one vote .,neutral,0,share entitle vote
2355,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,positive,1,citigroup sell OneMain Springleaf $ 4.25 billion
2356,Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,neutral,0,Peigs www.peigs.se Sardus Latta Maltider Light Meals unit
2357,"W+ñrtsil+ñ 's solution has been selected for its low fuel consumption , environmentally sound technology , and global service support .",positive,1,W+ñrtsil+ñ solution select low fuel consumption environmentally sound technology global service support
2358,"According to Heikkil+ñ , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .",neutral,0,accord Heikkil+ñ ` ` refreshment energy soon find soft drink Finland
2359,The order was valued at USD12 .2 m.,neutral,0,order value USD12 .2 m.
2360,The contract is worth some EUR 1 million .,neutral,0,contract worth EUR 1 million
2361,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,1,ADP News Nov 6 2008 finnish retail software developer Aldata Solution Oyj omx ALD1V say today swing net profit EUR 2.1 million usd 2.7 m month 2008 versus net loss EU
2362,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",neutral,0,operate profit total EUR 9.6 mn down EUR 42.0 mn year
2363,The company reiterates its outlook for 2009 .,neutral,0,company reiterate outlook 2009
2364,"Product deliveries will not be interrupted , the refiner said , giving no financial details .",neutral,0,product delivery not interrupt refiner say give no financial detail
2365,The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,neutral,0,issue come connection discussion local municipality concern sale water industrial facility
2366,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive,1,growth net sale half 2008 28 compare half 2007
2367,"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,0,Harold W. Young independent broker work closely retailer include Ahold USA Market Basket CVS BJ Wholesale Club Hannaford Cumberland Farms
2368,Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,negative,-1,academic claim Google Android factor authentication breakable security authentication hack $ goog https://t.co/njx4mnrglo
2369,"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",negative,-1,initially company say maximum 15 people redundant parent company 15 subsidiary
2370,A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,1,new Kveyt light variety Suomalainen Pekoni market Atria brand available consumer Finland
2371,"`` I 'm happy with the outcome , '' Sneed said after the hearing .",positive,1,` ` m happy outcome Sneed say hearing
2372,Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,positive,1,Supermarket Stocks Rally Tesco Plans Axe Non core UK Assets $ TSCO https://t.co/bmvhcrwrea
2373,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive,1,year company raise turnover approximately 7 million lita EUR 2 mln 6.1 million lita 2004
2374,The company said that the fall in turnover had been planned .,negative,-1,company say fall turnover plan
2375,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",negative,-1,decision mean temporary lay off fix duration company Nastola Jyvaskyla unit southern central Finland respectively
2376,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,0,year ICT sector share electricity consumption raise increase popularity smartphone
2377,"The total value of the agreement is USD4 .0 m , the company said .",neutral,0,total value agreement USD4 .0 m company say
2378,"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .",positive,1,"fair value investment property total EUR 2,299.9 mn compare EUR 2,229.5 mn corresponding period 2009"
2379,"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",neutral,0,body ES Vostok own stake power sale company MosenergosbytBody RTS MSSB 50.9 Altaienergosbyt 100 Saratovenergo RTS SARE body 48.36 Tambov Power Sales Company RTS TASB 49.01 ofbodywhich receive distribution balance
2380,Germanwings disaster will not affect image of budget air travel - easyJet,neutral,0,germanwing disaster not affect image budget air travel easyjet
2381,UPDATE 1-BP shareholders back more disclosure on climate change risks,neutral,0,update 1 BP shareholder disclosure climate change risk
2382,"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive,1,Bilfinger investor cheer agreement push share 7 euro 3.30 euro 50.29 afternoon trade
2383,The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,neutral,0,contract include option deliver additional 75 asc phase project
2384,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,positive,1,Amazon declare good black Friday Cyber Monday Kindle family http://stks.co/cEtw engadget $ AMZN
2385,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business .",neutral,0,Nokia continue invest future development Qt Digia responsible commercial licensing service business
2386,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,0,2008 Stockmann earn 3.398 million lat profit 48.012 million lat turnover
2387,Intertek Group announces strategic update outlining its plan,neutral,0,Intertek Group announce strategic update outline plan
2388,"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",positive,1,turnover surge EUR61 .8 m EUR47 .6 m increase service demand especially quarter overall growth business
2389,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",positive,1,EU regulator clear $ 100 billion plus AB InBev sabmiller deal
2390,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,neutral,0,update 1 Meggitt reiterate annual outlook tough 2014
2391,"Target company : Tieto Corporation , Business Identity Code : 0101138-5 Date of change in holding : 22 January 2010 Portion of the shares and votes : The current group holding of OP-Pohjola Group Central Cooperative ( OPK ) is 2982 587 shares , which represents 4.14 % of the shares and voting rights .",neutral,0,target company Tieto Corporation Business Identity Code 0101138 5 date change hold 22 January 2010 portion share vote current group holding OP Pohjola Group Central Cooperative OPK 2982 587 share represent 4.14 share voting right
2392,Exel wants to serve its industrial customers with individual products .,neutral,0,Exel want serve industrial customer individual product
2393,The measures taken will cause one-time costs during the final part of 2006 .,neutral,0,measure take cause time cost final 2006
2394,M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,neutral,0,M+ñkel+ñ demand new Board company discussion merger Alma medium medium company Talentum
2395,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,neutral,0,Vaisala expertise lightning datum information system base extensive experience investment r&d
2396,As a result some 20 persons will no longer be needed .,negative,-1,result 20 person no long need
2397,Sales increased due to growing market rates and increased operations .,positive,1,sale increase grow market rate increase operation
2398,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",negative,-1,Frost sell share $ 19 million $ 6.06 7 .12 share compare Friday high $ 11.33 low $ 10.14
2399,"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",positive,1,$ chkp ABC Bullish Pattern target https://t.co/uvmmrsr5zy
2400,Sanofi poaches AstraZeneca scientist as new research head,neutral,0,sanofi poache AstraZeneca scientist new research head
2401,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,positive,1,$ NSM ascend base breakout start gain traction strong stock http://stks.co/gbsh
2402,"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",neutral,0,2009 Stora Enso net loss EUR 879.7 million compare EUR 673.4 million previous year
2403,"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",positive,1,sale come 241 mln eur compare 211.4 mln beat consensus forecast 235 mln eur
2404,Active shipping is essential for Finland .,neutral,0,active shipping essential Finland
2405,"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",positive,1,$ tsla lot green 5 min watch hourly $ 259.33 possible resistance currently $ 257.00
2406,The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,neutral,0,deal process crane russian steel mill PNTZ Pervorouralsky order place turkish construction company Gama Endustri Tesisleri Imalat ve Montaj
2407,"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",neutral,0,month ago Teva vice chairman Phillip Frost Marathon Venture Capital Fund TASE MARA sell Protalix share
2408,"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",negative,-1,estonian electronic component factory Elcoteq run material closure air traffic
2409,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",negative,-1,BP Statoil Withdraw Staff Algeria Following Rocket Attack
2410,Competition authorities will have to approve the deal before it can be finalized .,neutral,0,competition authority approve deal finalize
2411,Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,neutral,0,Mr. Koistinen join Nokia Siemens Networks hold senior sale management business development position since 1997
2412,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative,-1,$ FB churn high volume IPO price Lot seller try consolidate move high
2413,"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",negative,-1,Finnish Scanfil contract manufacturer system supplier communication industrial electronic report net sale EUR 108.7 mn half 2008 down EUR 111.1 mn year early
2414,Sales of security and system packaging increased slightly .,positive,1,sale security system packaging increase slightly
2415,"Typically , the transmission power level can be decreased when the interference noise is above a predefined value .",neutral,0,typically transmission power level decrease interference noise predefined value
2416,"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .",negative,-1,operate profit month period decrease EUR19 .9 m net sale increase EUR155 .7 m compare corresponding period 2007
2417,"According to Tiimari , consumers are advised to cut away the rabbits bow tie that contains the formadehyde and dispose of it .",neutral,0,accord Tiimari consumer advise cut away rabbit bow tie contain formadehyde dispose
2418,"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",neutral,0,deal cover Stockmann Auto Oy Ab sale sale service concern Volkswagen Audi Helsinki Espoo Vantaa
2419,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,positive,1,Asahi could snap sabmiller beer ahead AB InBev sale
2420,"Previously , the plant was expected to be completed by the end of 2008 .",neutral,0,previously plant expect complete end 2008
2421,"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,0,M real finnish paper maker Metsaliitto Group release second quarter report 12:00 eet 5 August 2010
2422,Capital base and capital adequacy measurement is based on approaches under Basel II .,neutral,0,capital base capital adequacy measurement base approach Basel II
2423,"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",neutral,0,dividend pay April 15 2008 shareholder record date April 8 2008 enter list shareholder keep Finnish Central Securities Depository Ltd.
2424,"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",neutral,0,delivery Nokia 1112 Nokia 2310 Nokia 2610 expect start second quarter 2006
2425,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative,-1,$ tsla love type article SS interest rise 12/15 day hit low http://stks.co/c1qkr
2426,"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive,1,` ` lining stone sale good early autumn order book strong end year
2427,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",positive,1,buy Jumbo Yielders british American Tobacco plc Centrica PLC John Wood Group PLC
2428,Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .,neutral,0,short term license game cost little $ 3 purchase game outright cost $ 10 $ 15
2429,"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",positive,1,` ` extensive co operation bolster SysOpen Digia position domestic operator market Kallioranta add
2430,"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",positive,1,accord CEO Nordea Bank Estonia Vahur Kraft Nordea Finland Stockmann cooperate year
2431,The volumes are expected to increase during the next few years .,positive,1,volume expect increase year
2432,"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",positive,1,maybe close $ AAPL call morning bad idea money leave table
2433,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,neutral,0,incap estimate generate revenue 10 mln euro $ 13.2 mln indian operation 2007
2434,"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral,0,additionally company use solution automate preparation financial statement accord IFRS standard
2435,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral,0,cash flow operating activity investment EUR 7.6 million EUR 2.5 million
2436,`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,neutral,0,` ` Lemminkainen Talo Oy Lahti office significant logistic business premise constructor
2437,$NUGT longer term bullish,positive,1,$ nugt long term bullish
2438,"shock phase ' , consumers have once again started to plan and implement building projects .",neutral,0,shock phase consumer start plan implement building project
2439,"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral,0,found 1649 Fiskars 360 year product quality excellence Finland old company
2440,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",negative,-1,Biohit say reduce number lease personnel 10 lie 10 personnel
2441,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",neutral,0,Scanfil system supplier contract manufacturer communication sector start personnel negotiation Oulu Finland lay staff temporarily
2442,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",neutral,0,"omx Nordic 40 omxn40 index comprise 40 trade nordic stock Nasdaq omx exchange close down 0.87 1,064.14 point Thursday"
2443,"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",positive,1,exclude non recur item pre tax profit surge 45 eur80 m
2444,"Also , a six-year historic analysis is provided for these markets .",neutral,0,year historic analysis provide market
2445,This amount will not be included in the pensionable salary .,neutral,0,not include pensionable salary
2446,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,positive,1,$ AAPL AUG 645 call +550 .67c http://stks.co/i9t3
2447,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,-1,Q1 2009 company operating loss total EUR 0.3 mn compare profit EUR 3.6 mn Q1 2008
2448,Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .,neutral,0,Finnish Rautaruukki engineering division Ruukki Engineering organise operation Mo Rana plant Norway
2449,"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",positive,1,ensure low operational cost radio network BTS module configure software upgrade diagnose remotely
2450,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",neutral,0,Q1 2009 company result taxis continue operation exclude non recur item total EUR -0.4 mn compare EUR -0.1 mn corresponding period 2008
2451,CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,positive,1,ceo company Tarmo Noop say growth sale premium beer big
2452,Finnish fibers and plastics producer Suominen Corporation OMX Helsinki : SUY1V reported on Wednesday 22 October an operating loss of EUR0 .8 m on net sales of EUR55 .2 m for the third quarter of 2008 .,neutral,0,finnish fiber plastic producer Suominen Corporation omx Helsinki SUY1V report Wednesday 22 October operating loss EUR0 .8 m net sale EUR55 .2 m quarter 2008
2453,Deliveries have started and the network will be ready for a launch soon .,positive,1,delivery start network ready launch soon
2454,"ALEXANDRIA , Va. , Nov. 19 -- Erkki Aho , Elimaki , Finland , has developed a method and apparatus in conjunction with a shoe press .",neutral,0,ALEXANDRIA Va. Nov. 19 Erkki Aho Elimaki Finland develop method apparatus conjunction shoe press
2455,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",positive,1,"sale improve SEK 1,553 mn compare SEK 1,408 mn"
2456,Net sales fell by 5 % from the previous accounting period .,negative,-1,net sale fall 5 previous accounting period
2457,"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",neutral,0,year UPM cut production closed mill Finland slash 700 job
2458,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive,1,Japan Asahi submit bid week sabmiller Grolsch Peroni Yomiuri
2459,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",neutral,0,operate result show loss EUR 2.9 mn year show profit EUR 0.6 mn
2460,"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",negative,-1,operating loss non recur item EUR 0.9 mn compare profit EUR 11.5 mn 2008
2461,What would you like to see changed on Nokia 's next attempt ?,neutral,0,you like change Nokia attempt
2462,The company will release its 2010 results on 11 February 2011 .,neutral,0,company release 2010 result 11 February 2011
2463,"The orange-handled scissors from Fiskars are part of the permanent design collection of the Museum of Modern Art in New York , as well as the Philadelphia Museum of Art .",neutral,0,orange handle scissor Fiskars permanent design collection Museum Modern Art New York Philadelphia Museum Art
2464,And U.S. energy executives say high steel prices are threatening energy exploration .,neutral,0,U.S. energy executive high steel price threaten energy exploration
2465,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,0,"currently YIT build housing estate Zapadnye Vorota 26,000 square metre city house 9,910 square metre complete end 2009"
2466,"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",positive,1,Fiskars World 1 Scissors Brand TM recently win Learning Magazine 2011 Teachers Choice Award classroom
2467,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,neutral,0,chief executive officer Olli Pekka Kallasvuo change Tuesday mark time month company reshuffle executive operation Nokia lose ground Apple iPhone RIM BlackBerry
2468,Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,negative,-1,Nokia s U.S. share 3.3 percent low $ 12.73 1750 GMT
2469,"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 .",negative,-1,operate profit 12 month period decrease EUR157 .5 m net sale increase EUR634 .3 m compare 2007
2470,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,0,"total 1,800,000 stock option issue 2003 stock option scheme"
2471,"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",neutral,0,"stage maximum 60,000 Tulikivi Series share acquire represent 0.16 cent company ¦ s share outstanding"
